STOCK,最小本益比,最大本益比,平均本益比,PERatio,便宜股價,安全股價,合理股價,觀察股價,昂貴股價
1201,6.08,45.59,20.954808511834475,1.318888888888889,8.018844444444445,17.827954279748624,27.637064115052805,43.88260427974863,60.12814444444445
1203,12.96,21.1,16.26466408050823,1.1311111111111112,14.659200000000002,16.52817112997632,18.39714225995264,21.131793352198546,23.866444444444447
1210,10.94,18.18,14.165898465171187,1.9600000000000002,21.442400000000003,24.603780495867767,27.76516099173553,31.69898049586777,35.6328
1215,10.18,21.33,13.145884625178743,3.107777777777778,31.63717777777778,36.24583294256942,40.85448810736106,53.57169405368053,66.2889
1216,10.24,25.62,20.34055138139172,2.1866666666666665,22.391466666666666,33.43473617698828,44.47800568730989,50.25020284365495,56.0224
1217,17.48,150.4,47.52055600421989,0.18777777777777774,3.282355555555555,6.1028299803962,8.923304405236845,18.58254109150731,28.241777777777774
1218,14.56,24.06,18.532285624739405,0.83,12.0848,13.733298534266853,15.381797068533706,17.675798534266853,19.9698
1219,107.06,109.41,108.45593750000002,0.7900000000000001,84.57740000000001,85.12879531250002,85.68019062500004,86.05704531250002,86.43390000000001
1220,11.98,28.85,17.31213845429625,0.44222222222222224,5.297822222222223,6.476817280449949,7.655812338677675,10.206961724894395,12.758111111111113
1225,19.6,89.51,32.37493847398752,0.9322222222222224,18.27155555555556,24.226096322041965,30.18063708852837,56.81192409981975,83.44321111111113
1227,14.19,20.45,16.558928960638976,2.025555555555556,28.742633333333337,31.141831941802703,33.54103055027207,37.481820830691596,41.42261111111112
1229,11.27,26.85,17.460467495546393,1.4855555555555557,16.742211111111114,21.34035280085863,25.938494490606143,32.91283057863641,39.88716666666667
1231,10.73,15.8,13.670005519711276,1.7377777777777776,18.646355555555555,21.20089368490469,23.755431814253818,25.606160351571354,27.456888888888887
1232,14.5,21.53,19.160566801121174,4.133333333333333,59.93333333333332,69.56517138898376,79.19700944463418,84.09383805565042,88.99066666666666
1233,17.84,55.87,33.137945553617186,0.6655555555555555,11.873511111111108,16.964327437009274,22.055143762907434,29.619866325898162,37.18458888888888
1234,13.83,18.8,16.113394493211132,1.1477777777777778,15.873766666666667,17.18418139527061,18.494596123874555,20.036409173048387,21.578222222222223
1235,10.15,487.5,86.89202490331279,0.12333333333333334,1.2518333333333334,5.984258202370956,10.716683071408577,35.420841535704284,60.125
1256,10.37,19.97,14.726877044434799,10.56,109.5072,132.51151079461573,155.51582158923148,183.19951079461575,210.8832
1702,9.02,14.18,12.359044961117908,1.9933333333333332,17.979866666666663,21.307781477914176,24.635696289161693,26.45058147791418,28.265466666666665
1737,13.87,21.59,18.982856392847257,1.0133333333333332,14.05493333333333,16.645447239042607,19.235961144751883,20.556913905709273,21.877866666666662
