STOCK,最小本益比,最大本益比,平均本益比,EPS,便宜股價,安全股價,合理股價,觀察股價,昂貴股價
1201,6.08,45.59,21.02939,0.77037,4.68385,10.44214,16.20042,25.6608,35.12119
1203,12.96,21.1,16.26466,0.84543,10.9568,12.35373,13.75067,15.79464,17.83862
1210,10.94,18.18,14.16901,1.56642,17.13663,19.66563,22.19462,25.33607,28.47751
1215,10.18,21.33,13.09337,2.58568,26.32221,30.08873,33.85524,44.50389,55.15253
1216,9.64,25.62,20.00706,1.59802,15.40496,23.68837,31.97177,36.45658,40.94139
1217,17.03,150.4,45.86241,0.14025,2.3884,4.41023,6.43206,13.7626,21.09314
1218,14.56,24.06,18.51944,0.64988,9.4622,10.74878,12.03535,13.83569,15.63603
1220,11.98,28.85,17.22611,0.41481,4.96948,6.05756,7.14564,9.55653,11.96741
1225,19.6,94.94,34.47208,0.82568,16.18331,22.32309,28.46287,53.42642,78.38997
1227,14.19,20.45,16.46605,1.56444,22.19947,23.97984,25.76022,28.87655,31.99289
1229,11.27,26.85,17.39745,1.16938,13.17894,16.76161,20.34428,25.8711,31.39793
1231,10.73,15.8,13.6207,1.53284,16.44737,18.66286,20.87834,22.5486,24.21886
1232,14.5,21.53,19.14493,3.40148,49.32148,57.22131,65.12113,69.17751,73.2339
1233,17.84,55.87,33.06683,0.50173,8.95083,12.7707,16.59057,22.31107,28.03157
1234,13.83,19.19,16.17126,0.92049,12.73043,13.80799,14.88554,16.27491,17.66428
1256,10.35,19.97,14.6487,8.90272,92.14311,111.27816,130.41322,154.10023,177.78724
1702,9.02,15.11,12.43958,1.7521,15.80393,18.79966,21.79538,24.1348,26.47421
1737,13.14,21.59,18.72385,0.80395,10.56391,12.80848,15.05305,16.20517,17.35729
